"Tabela 5442 - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente e efetivamente recebidos no trabalho principal, por grupamentos de atividade no trabalho principal"
"Variável - Rendimento médio mensal real das pessoas de 14 anos ou mais de idade ocupadas na semana de referência com rendimento de trabalho, habitualmente recebido no trabalho principal (Reais)"
"Trimestre";"";"Grupamento de atividades no trabalho principal - PNADC"
"Trimestre";"";"Total";"Agricultura, pecuária, produção florestal, pesca e aquicultura";"Indústria geral";"Indústria de transformação";"Construção";"Comércio, reparação de veículos automotores e motocicletas";"Transporte, armazenagem e correio";"Alojamento e alimentação";"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas";"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais";"Outro serviço";"Serviço doméstico";"Atividades mal definidas"
"1º trimestre 2012";"Brasil";"2634";"1456";"2754";"2642";"2202";"2366";"2877";"2021";"3841";"3841";"2194";"1033";"2116"
"2º trimestre 2012";"Brasil";"2645";"1488";"2749";"2624";"2263";"2347";"2920";"2027";"3895";"3802";"2190";"1029";"2668"
"3º trimestre 2012";"Brasil";"2659";"1499";"2747";"2633";"2325";"2384";"2846";"1953";"3879";"3833";"2099";"1026";"2731"
"4º trimestre 2012";"Brasil";"2647";"1508";"2748";"2599";"2240";"2356";"2891";"1945";"3932";"3819";"2141";"1039";"2219"
"1º trimestre 2013";"Brasil";"2695";"1522";"2752";"2620";"2308";"2383";"2831";"2043";"4065";"3915";"2175";"1052";"2131"
"2º trimestre 2013";"Brasil";"2725";"1526";"2805";"2704";"2436";"2417";"2955";"2036";"3986";"3901";"2198";"1064";"1942"
"3º trimestre 2013";"Brasil";"2763";"1563";"2824";"2711";"2436";"2440";"3035";"2120";"4050";"3956";"2311";"1081";"3307"
"4º trimestre 2013";"Brasil";"2741";"1562";"2805";"2725";"2368";"2434";"2933";"2136";"3984";"3975";"2308";"1103";"2805"
"1º trimestre 2014";"Brasil";"2798";"1591";"2914";"2802";"2440";"2427";"3004";"2157";"4084";"4017";"2291";"1133";"6313"
"2º trimestre 2014";"Brasil";"2777";"1596";"2827";"2708";"2397";"2385";"2986";"2103";"4152";"3978";"2220";"1120";"3641"
